source,section,subsection,type,content,tags,weight
windows_ad_directory_services,AD SITES AND REPLICATION,AD Sites and Services (ADSS) Configuration,steps,"Open: Server Manager -> Tools -> Active Directory Sites and Services

Default folders under Sites:
  1. Subnets — maps IP subnets to sites
  2. Inter-Site Transports — IP and SMTP site link protocols
  3. Default-First-Site-Name — the default site containing all DCs initially

Inter-Site Transport protocols:
  IP (RPC): faster and more efficient, can replicate everything
  SMTP: used when WAN links are unreliable or always-on not guaranteed;
         requires a CA for encryption; cannot replicate all AD data

Default IP site link cost: 100
Default replication interval: 180 minutes

To rename a site:
  Right-click site -> Rename

To create a new site:
  Right-click Sites -> New Site -> choose site link

To create subnets and link to sites:
  Right-click Subnets -> New Subnet -> enter CIDR -> select site

To move a DC to another site:
  Right-click the server object -> Move","windows,server,win,microsoft,ad,domain,active directory,active,directory,adds,dc,domain controller,promote,forest,install,create,add,new,make,useradd,adduser,setup,configure,build,aduc,adac,ou,user,management,organizational,organisational,unit,container,group,groups,groupadd,groupmod,groupdel,member,membership,security group,password,passwd,chage,secret,credentials,pass,pwd,policy,gpo,group policy,baseline,security,dhcp,ip,address,lease,pool,network,dns,router,failover,scope,rras,routing,remote access,vpn,nat,school.test,sites,site,replication,replic,services,servic,service,adss,configuration,configur,open,manager,manag,tools,tool,activ,directori,default,folders,folder,subnets,subnet,subnetting,cidr,mask,vlsm,prefix,maps,map,inter-site,inter-sit,transports,transport,smtp,mail,postfix,email,port 25,relay,send,mta,link,protocols,protocol,default-first-site-name,default-first-site-nam,containing,contain,dcs,initially,initi,rpc,faster,efficient,effici,replicate,everything,everyth,wan,links,unreliable,unreli,always-on,guaranteed,guarante,requires,requir,ca,certificate authority,pki,adcs,certificate,tls,ssl,root ca,enterprise ca,encryption,encrypt,cannot,data,cost,interval,interv,minutes,minut,minute,rename,renam,right-click,creat,choose,choos,enter,select,move,another,anoth,object,site link,sites and,to sites,link to,to create,ad sites and,ad sites,links are",0.6397
windows_ad_directory_services,AD SITES AND REPLICATION,Promote SRV1 to Domain Controller,steps,"1. On SRV1: Server Manager -> click the notification flag (!) -> promote to DC
2. Choose: Add a domain controller to an existing domain
3. Log in with domain administrator credentials
4. On Domain Controller Options tab:
   - DNS Server role: leave checked (recommended for fault tolerance)
   - Global Catalog: leave checked
   - RODC: do NOT select (RODC = Read-Only DC, cannot accept write changes)
   - Site Name: select 'Intern' (not Default-First-Site-Name)
5. Set DSRM password
6. Additional Options: choose replication from dc1.school.test specifically
7. Leave AD DB paths as default
8. Review PowerShell script and proceed
9. After reboot: verify SRV1 appears in ADSS on DC1 under Intern site

To force replication:
  repadmin /syncall
  or right-click connection object in ADSS -> Replicate Now","windows,server,win,microsoft,ad,domain,active directory,active,directory,adds,dc,domain controller,promote,forest,install,create,add,new,make,useradd,adduser,setup,configure,build,aduc,adac,ou,user,management,organizational,organisational,unit,container,group,groups,groupadd,groupmod,groupdel,member,membership,security group,password,passwd,chage,secret,credentials,pass,pwd,policy,gpo,group policy,baseline,security,dhcp,ip,address,lease,pool,network,dns,router,failover,scope,rras,routing,remote access,vpn,nat,school.test,controller,roles,sites,site,replication,replic,promot,srv1,control,manager,manag,click,notification,notif,tification,flag,choose,choos,existing,exist,log,administrator,administr,credenti,credential,options,option,tab,dn,role,leave,leav,checked,check,recommended,recommend,fault,tolerance,toler,global,catalog,rodc,select,read-only,read-onli,cannot,accept,write,changes,chang,change,name,intern,default-first-site-name,default-first-site-nam,dsrm,additional,addit,dc1,school,test,specifically,specif,db,paths,path,default,review,powershell,powershel,script,proceed,reboot,verify,verifi,appears,appear,adss,force,forc,repadmin,syncall,syncal,right-click,connection,connect,object,replicate,existing domain,force replication repadmin,in with domain,add domain,an existing,dns server role,force replication",0.6182
windows_ad_directory_services,AD SITES AND REPLICATION,Replication Diagnostic Tools,command,"# DCdiag — checks overall DC health
dcdiag /h                          # show all options
dcdiag /test:connectivity          # test DC connectivity
dcdiag /test:kccevent              # check KCC events
dcdiag /test:topology              # verify replication topology
dcdiag /a                          # run all tests on local DC
dcdiag /e                          # run all tests on all DCs in enterprise

# Repadmin — specific to replication analysis
repadmin /kcc                      # trigger KCC to recalculate topology
repadmin /queue                    # show objects waiting to be replicated
repadmin /replsummary              # success/error counts and avg replication time
repadmin /showrepl                 # detailed replication status
repadmin /syncall                  # force replication with all partners

# NOTE: if replication is broken, Exchange installs may fail and new users cannot be created","windows,server,win,microsoft,ad,domain,active directory,active,directory,adds,dc,domain controller,promote,forest,install,create,add,new,make,useradd,adduser,setup,configure,build,aduc,adac,ou,user,management,organizational,organisational,unit,container,group,groups,groupadd,groupmod,groupdel,member,membership,security group,password,passwd,chage,secret,credentials,pass,pwd,policy,gpo,group policy,baseline,security,dhcp,ip,address,lease,pool,network,dns,router,failover,scope,rras,routing,remote access,vpn,nat,school.test,sites,site,replication,replic,diagnostic,diagnost,tools,tool,dcdiag,checks,check,overall,overal,health,show,display,list,view,get,verify,print,options,option,test,connectivity,connect,kccevent,kcc,events,event,topology,topolog,verifi,tests,local,dcs,enterprise,enterpris,repadmin,specific,specif,analysis,analysi,trigger,recalculate,recalcul,queue,objects,object,waiting,wait,replicated,replsummary,replsummari,success,error,counts,count,avg,time,showrepl,repl,detailed,detail,status,statu,syncall,syncal,force,forc,partners,partner,broken,exchange,exchang,installs,instal,may,fail,users,cannot,created,creat,dcdiag test,all tests,all tests on,tests on,kcc trigger,kcc trigger kcc,local dc,local dc dcdiag",0.7011
windows_ad_directory_services,AD SITES AND REPLICATION,Import Users with CSVDE,command,"# Import users from CSV file
csvde -i -v -k -f medewerkers.csv
# -i = import mode
# -v = verbose
# -k = ignore errors and continue
# -f = specify file
# Use absolute path if not in same directory: C:\path\to\medewerkers.csv

# After import: verify replication with repadmin /syncall
# Refresh ADUC: click the green circular arrow","windows,server,win,microsoft,ad,domain,active directory,active,directory,adds,dc,domain controller,promote,forest,install,create,add,new,make,useradd,adduser,setup,configure,build,aduc,adac,ou,user,management,organizational,organisational,unit,container,group,groups,groupadd,groupmod,groupdel,member,membership,security group,password,passwd,chage,secret,credentials,pass,pwd,policy,gpo,group policy,baseline,security,dhcp,ip,address,lease,pool,network,dns,router,failover,scope,rras,routing,remote access,vpn,nat,school.test,sites,site,replication,replic,import,users,csvde,csv,file,medewerkers,medewerk,verbose,verbos,ignore,ignor,errors,error,continue,continu,specify,specifi,absolute,absolut,path,directori,verify,verifi,repadmin,syncall,syncal,refresh,click,green,circular,arrow,import users,medewerkers csv,csvde medewerkers,csvde medewerkers csv,ignore errors,in same,medewerkers csv import,replication with",0.6893
windows_ad_directory_services,AD CONCEPTS,Domain and Forest Design,prose,"Domain: Security and Administration Boundary
  - Has its own SAM database, AD (NTDS.dit), Group Policies, Password Policies
  - Multi-master replication — changes can be made from any DC

Trust types:
  Transitive trust: automatic two-way trust between domains in same forest
    If A trusts B and C trusts B, then A trusts C
  Explicit trust: manually created, one-way or two-way
  Shortcut trust: explicit trust between two domains within a tree (for faster auth)
  Cross-forest transitive trust: between two separate AD forests

RODC (Read-Only Domain Controller):
  - Holds read-only copy of AD database
  - Used at remote/branch offices — cannot process write requests
  - Safer for locations with lower physical security

Global Catalog (GC):
  - Holds full copy of objects in home domain + partial copy of all other domain objects
  - Required for forest-wide searches and universal group membership
  - Recommended: give every DC the GC role
  - Universal Group Membership Caching: alternative to GC at small remote sites

FSMO Roles (Flexible Single Master Operation):
  Forest-wide: Schema Master, Domain Naming Master
  Domain-wide: PDC Emulator, RID Master, Infrastructure Master","windows,server,win,microsoft,ad,domain,active directory,active,directory,adds,dc,domain controller,promote,forest,install,create,add,new,make,useradd,adduser,setup,configure,build,aduc,adac,ou,user,management,organizational,organisational,unit,container,group,groups,groupadd,groupmod,groupdel,member,membership,security group,password,passwd,chage,secret,credentials,pass,pwd,policy,gpo,group policy,baseline,security,dhcp,ip,address,lease,pool,network,dns,router,failover,scope,rras,routing,remote access,vpn,nat,school.test,concepts,concept,design,secur,administration,administr,boundary,boundari,sam,database,databas,ntds,ntd,dit,policies,polici,multi-master,multi-mast,replication,replic,changes,chang,change,made,trust,types,type,transitive,transit,automatic,automat,two-way,domains,trusts,explicit,manually,manual,created,creat,one-way,shortcut,within,tree,faster,auth,cross-forest,separate,separ,forests,rodc,read-only,read-onli,controller,control,holds,hold,copy,copi,remote,remot,branch,offices,offic,office,cannot,process,write,requests,request,safer,locations,locat,location,lower,physical,physic,global,catalog,gc,full,objects,object,home,partial,required,requir,forest-wide,forest-wid,searches,search,universal,univers,recommended,recommend,role,caching,cach,alternative,altern,small,sites,site,fsmo,roles,flexible,flexibl,single,singl,master,operation,oper,between two,group membership,pdc emulator,domain and,every dc,in same,its own,all other",0.5553
windows_ad_directory_services,DHCP FAILOVER,DHCP Scope Configuration,prose,"Create two DHCP scopes on SRV1:

Scope 1 — Datacenter1 (DMZ1):
  Name: LAN-DMZ
  IP range: 172.16.2.10 – 172.16.2.100
  Subnet mask: /24 (255.255.255.0) — NOTE: default is /16, change it!
  Default gateway: 172.16.2.251 (RRAS1)
  DNS servers: DC1 and SRV1
  Lease duration: default

Scope 2 — LAN Rotterdam (Intern):
  IP range: 172.16.1.10 – 172.16.1.100
  Subnet mask: /24
  Default gateway: 172.16.1.251 (RRAS1)
  DNS servers: DC1 and SRV1

Activate both scopes after creation.","windows,server,win,microsoft,ad,domain,active directory,active,directory,adds,dc,domain controller,promote,forest,install,create,add,new,make,useradd,adduser,setup,configure,build,aduc,adac,ou,user,management,organizational,organisational,unit,container,group,groups,groupadd,groupmod,groupdel,member,membership,security group,password,passwd,chage,secret,credentials,pass,pwd,policy,gpo,group policy,baseline,security,dhcp,ip,address,lease,pool,network,dns,router,failover,scope,rras,routing,remote access,vpn,nat,school.test,cisco,switch,networking,commands,ios,default,failov,configuration,configur,creat,scopes,srv1,datacenter1,dmz1,name,lan-dmz,range,rang,subnet,subnetting,cidr,mask,vlsm,prefix,change,chang,gateway,rras1,dn,servers,dc1,leas,duration,durat,lan,rotterdam,intern,activate,activ,creation,ip dhcp,subnet mask,dc1 and srv1,and srv1,dc1 and,dns servers,servers dc1,ip range,default gateway",0.6032
windows_ad_directory_services,DHCP FAILOVER,Configure DHCP Failover,steps,"1. Right-click scope -> Configure Failover
2. Choose RRAS1 as partner server
   If server not visible: check that IPv6 is not set to ::1 on DNS — disable IPv6 if needed
3. For LAN Rotterdam scope:
   Mode: Hot standby
   Role of Partner Server: Active (not Standby)
   Uncheck 'Enable message authentication'
4. For Datacenter1 scope:
   Same steps, but assign Active role to SRV1
   Uncheck 'Reuse existing failover relationships'
5. Test failover:
   - Start PC1, set NIC to DHCP
   - Verify PC1 gets IP from RRAS1
   - On RRAS1: right-click DHCP server -> All Tasks -> Pause/Stop
   - On PC1: ipconfig /release then ipconfig /renew
   - PC1 should now get IP from SRV1
   - Restart DHCP on RRAS1 and verify counters (Replies received) increase","windows,server,win,microsoft,ad,domain,active directory,active,directory,adds,dc,domain controller,promote,forest,install,create,add,new,make,useradd,adduser,setup,configure,build,aduc,adac,ou,user,management,organizational,organisational,unit,container,group,groups,groupadd,groupmod,groupdel,member,membership,security group,password,passwd,chage,secret,credentials,pass,pwd,policy,gpo,group policy,baseline,security,dhcp,ip,address,lease,pool,network,dns,router,failover,scope,rras,routing,remote access,vpn,nat,school.test,cisco,switch,networking,commands,ios,default,failov,configur,right-click,choose,choos,rras1,partner,visible,visibl,check,ipv6,dn,disable,lock,deactivate,prevent,block,disabl,needed,need,lan,rotterdam,hot,standby,standbi,role,activ,uncheck,enable,activate,allow,permit,start,enabl,message,messag,authentication,authent,datacenter1,steps,step,assign,srv1,reuse,reus,existing,exist,relationships,relationship,test,pc1,nic,verify,verifi,gets,get,tasks,task,pause,paus,stop,ipconfig,config,release,releas,renew,restart,counters,counter,replies,repli,reply,received,receiv,increase,increas,ip dhcp,dhcp failover,on rras1,ipconfig release,ipconfig renew,right-click dhcp,authentication for,dhcp on,from rras1",0.6216
windows_ad_directory_services,DHCP FAILOVER,Configure DHCP Relay Agent on RRAS1,steps,"1. Open Routing and Remote Access on RRAS1
2. IPv4 -> General -> right-click -> New Routing Protocol -> DHCP Relay Agent
3. Right-click DHCP Relay Agent -> New Interface
4. Add interfaces: DMZ1 and LAN Rotterdam
5. Right-click DHCP Relay Agent -> Properties
6. Add SRV1 IP (172.16.2.3) as DHCP server address -> click Add
7. Monitor relay counters — 'Replies received' should increment","windows,server,win,microsoft,ad,domain,active directory,active,directory,adds,dc,domain controller,promote,forest,install,create,add,new,make,useradd,adduser,setup,configure,build,aduc,adac,ou,user,management,organizational,organisational,unit,container,group,groups,groupadd,groupmod,groupdel,member,membership,security group,password,passwd,chage,secret,credentials,pass,pwd,policy,gpo,group policy,baseline,security,dhcp,ip,address,lease,pool,network,dns,router,failover,scope,rras,routing,remote access,vpn,nat,school.test,cisco,switch,networking,commands,ios,default,failov,configur,relay,agent,rras1,open,rout,remote,remot,access,ipv4,general,gener,right-click,protocol,interface,fastethernet,gigabit,fa,gi,eth,port,nic,int,interfac,interfaces,dmz1,lan,rotterdam,properties,properti,property,srv1,click,monitor,counters,counter,replies,repli,reply,received,receiv,increment,ip dhcp,dhcp relay agent,relay agent,dhcp relay,right-click dhcp,on rras1,access on,access on rras1,open routing",0.6757
windows_ad_directory_services,IIS AND FTP ON WINDOWS SERVER,DNS Records for Web and FTP,steps,"1. Open Server Manager -> Tools -> DNS Manager on DC1
2. Expand forward lookup zone -> school.test
3. Right-click -> New Host (A or AAAA)
4. For web: Name = www, IP = 172.16.2.3 (SRV1)
   Full FQDN should show: www.school.test. (note trailing dot)
5. For FTP: repeat with Name = ftp, same IP
6. Test: nslookup www.school.test
   If returns ::1 -> disable IPv6 on NIC
   If no result -> run ipconfig /flushdns and retry","windows,server,win,microsoft,ad,domain,active directory,active,directory,adds,dc,domain controller,promote,forest,install,create,add,new,make,useradd,adduser,setup,configure,build,aduc,adac,ou,user,management,organizational,organisational,unit,container,group,groups,groupadd,groupmod,groupdel,member,membership,security group,password,passwd,chage,secret,credentials,pass,pwd,policy,gpo,group policy,baseline,security,dhcp,ip,address,lease,pool,network,dns,router,failover,scope,rras,routing,remote access,vpn,nat,school.test,iis,ii,ftp,window,dn,records,record,web,open,manager,manag,tools,tool,dc1,expand,forward,lookup,zone,school,test,right-click,host,aaaa,name,www,srv1,full,fqdn,show,display,list,view,check,get,verify,print,trailing,trail,dot,repeat,nslookup,returns,return,disable,lock,deactivate,prevent,block,disabl,ipv6,nic,result,ipconfig,config,flushdns,flushdn,retry,retri,for web,www school,www school test,and ftp,school test,zone school,zone school test,and ftp on",0.6369
windows_ad_directory_services,IIS AND FTP ON WINDOWS SERVER,Configure FTP Site in IIS,steps,"1. Open IIS Manager on SRV1
2. Right-click Sites -> Add FTP Site
3. Site name: ftp.school.test
4. Content directory: C:\inetpub\ftproot
5. IP binding: 172.16.2.3
6. SSL: No SSL (SSL added later with CA)
7. Authentication: Anonymous and Basic
8. Authorization: Read and Write for all users
9. Create a subdirectory: C:\inetpub\ftproot\belangrijk
10. If write access fails: add Domain Users to NTFS permissions on ftproot with Modify rights
11. On RRAS1 — disable built-in FTP proxy (interferes with FTP through NAT):
    netsh routing ip nat delete ftp
12. Test: ftp://ftp.school.test in browser or Windows File Explorer","windows,server,win,microsoft,ad,domain,active directory,active,directory,adds,dc,domain controller,promote,forest,install,create,add,new,make,useradd,adduser,setup,configure,build,aduc,adac,ou,user,management,organizational,organisational,unit,container,group,groups,groupadd,groupmod,groupdel,member,membership,security group,password,passwd,chage,secret,credentials,pass,pwd,policy,gpo,group policy,baseline,security,dhcp,ip,address,lease,pool,network,dns,router,failover,scope,rras,routing,remote access,vpn,nat,school.test,iis,ii,ftp,window,configur,site,open,manager,manag,srv1,right-click,sites,name,school,test,content,directori,inetpub,ftproot,binding,bind,ssl,tls,certificate,ca,pki,encrypt,secure,openssl,added,later,authentication,authent,anonymous,anonym,basic,authorization,author,read,write,users,creat,subdirectory,subdirectori,belangrijk,access,fails,fail,ntfs,ntf,permissions,permiss,permission,modify,modifi,rights,right,rras1,disable,lock,deactivate,prevent,block,disabl,built-in,proxy,proxi,interferes,interfer,netsh,rout,delete,remove,del,userdel,erase,drop,delet,browser,file,explorer,explor,school test,and ftp on,ftp on,ftp on windows,in iis,netsh routing,netsh routing ip,open iis",0.6342
windows_ad_directory_services,IIS AND FTP ON WINDOWS SERVER,IIS Windows Authentication,steps,"1. Open IIS Manager -> select website -> Authentication
2. Enable Windows Authentication
3. Disable Anonymous Authentication
4. Restart the IIS service (not the server): IIS home -> Actions -> Restart
5. Test in browser (use private/incognito mode or clear cache first)
6. Should prompt for username and password
7. If IE shows nothing: disable IE Enhanced Security in Server Manager -> Local Server

NOTE: Windows Authentication uses Kerberos/NTLM.
Only works natively from Windows domain-joined clients.
Linux clients cannot authenticate with Windows Auth without additional config.","windows,server,win,microsoft,ad,domain,active directory,active,directory,adds,dc,domain controller,promote,forest,install,create,add,new,make,useradd,adduser,setup,configure,build,aduc,adac,ou,user,management,organizational,organisational,unit,container,group,groups,groupadd,groupmod,groupdel,member,membership,security group,password,passwd,chage,secret,credentials,pass,pwd,policy,gpo,group policy,baseline,security,dhcp,ip,address,lease,pool,network,dns,router,failover,scope,rras,routing,remote access,vpn,nat,school.test,iis,ii,ftp,window,authentication,authent,open,manager,manag,select,website,websit,enable,activate,allow,permit,start,enabl,disable,lock,deactivate,prevent,block,disabl,anonymous,anonym,restart,service,servic,home,actions,action,test,browser,private,privat,incognito,clear,cache,cach,prompt,username,usernam,name,ie,shows,show,display,list,view,check,get,verify,print,nothing,noth,thing,enhanced,enhanc,secur,local,uses,use,us,kerberos,kerbero,ntlm,works,work,natively,nativ,domain-joined,domain-join,clients,client,pc,desktop,computer,workstation,join,linux,unix,bash,shell,dnf,rpm,sudo,rocky,redhat,rhel,cannot,authenticate,auth,without,additional,addit,config,windows authentication,server iis,kerberos ntlm,kerberos ntlm only,linux clients,linux clients cannot,local server,windows auth",0.658
windows_ad_directory_services,WINDOWS STORAGE POOLS,Create a Storage Pool and Virtual Disk,steps,"1. Shut down SRV1
2. Add two virtual disks (5GB each, SATA type) via VM settings
3. Start SRV1 and log in with domain admin
4. Server Manager -> File and Storage Services -> Disks
5. Right-click each new disk -> Initialize
6. Under Storage Pools -> TASKS -> New Storage Pool:
   Name: Webservers
   Select both new disks, Allocation: Automatic
7. Click on pool 'Webservers' -> New Virtual Disk:
   Name: storagepool1
   Storage layout: Simple (striped = RAID0)
   Provisioning: Thin
   Size: 2 GB
8. New Volume Wizard starts automatically:
   Select disk: storagepool1
   Size: 2 GB
   Drive letter: E (not C)
   File system: ReFS
   Volume label: Applicatie_data
9. Verify E:\ appears in Windows Explorer

ReFS notes:
  - Still in development
  - Cannot boot OS from ReFS
  - No disk quotas, compression, or EFS support yet
  - NTFS and Share permissions still apply to folders
  - Microsoft equivalent of Linux LVM","windows,server,win,microsoft,ad,domain,active directory,active,directory,adds,dc,domain controller,promote,forest,install,create,add,new,make,useradd,adduser,setup,configure,build,aduc,adac,ou,user,management,organizational,organisational,unit,container,group,groups,groupadd,groupmod,groupdel,member,membership,security group,password,passwd,chage,secret,credentials,pass,pwd,policy,gpo,group policy,baseline,security,dhcp,ip,address,lease,pool,network,dns,router,failover,scope,rras,routing,remote access,vpn,nat,school.test,linux,unix,bash,shell,dnf,rpm,sudo,rocky,redhat,rhel,storage,disk,partition,fdisk,parted,lvm,mount,filesystem,raid,mdadm,mirror,stripe,array,redundancy,fault tolerance,fstab,window,storag,pools,creat,virtual,shut,srv1,disks,gb,sata,vm,settings,set,setting,log,admin,manager,manag,file,services,servic,service,right-click,initialize,initi,tasks,task,name,webservers,webserv,select,allocation,alloc,automatic,automat,click,storagepool1,layout,simple,simpl,striped,raid0,provisioning,provis,thin,size,volume,volum,wizard,starts,start,automatically,drive,letter,system,refs,ref,label,applicatie,applicati,data,verify,verifi,appears,appear,explorer,explor,notes,note,tes,still,development,develop,cannot,boot,os,quotas,quota,compression,compress,efs,ef,support,yet,ntfs,storage pool,virtual disk,storage pools,size gb,linux lvm,new disks,file system,in windows",0.6226
windows_ad_directory_services,AD DNS CONCEPTS,DNS Role in Active Directory,prose,"DNS is critical for AD — without DNS, AD does not function.
Netlogon service uses DNS to locate DCs.

Recommendation: give every DC the DNS Server role (fault tolerance + performance).

DNS zone types:
  Standard zone: stored as text file, only primary can accept writes
  AD-integrated zone: stored as AD objects, replicated via AD, all DCs can accept writes

Namespace design:
  External namespace: resolvable on internet
  Internal namespace: only used internally
    - All domains and TLDs can be used internally
    - .internal is reserved for private name addressing
    - Do NOT use same name internally and externally (security risk)
    - Recommended: use different TLD (e.g. company.com external, company.local internal)

AD DS security:
  Kerberos: secure authentication — passwords never sent over network
    - Client sends encrypted ticket request to KDC
    - KDC issues ticket — like solving a puzzle only the other party knows
  IPsec: can be used for additional encryption between DCs","windows,server,win,microsoft,ad,domain,active directory,active,directory,adds,dc,domain controller,promote,forest,install,create,add,new,make,useradd,adduser,setup,configure,build,aduc,adac,ou,user,management,organizational,organisational,unit,container,group,groups,groupadd,groupmod,groupdel,member,membership,security group,password,passwd,chage,secret,credentials,pass,pwd,policy,gpo,group policy,baseline,security,dhcp,ip,address,lease,pool,network,dns,router,failover,scope,rras,routing,remote access,vpn,nat,school.test,dn,concepts,concept,role,activ,directori,critical,critic,without,function,netlogon,logon,service,servic,uses,use,us,locate,locat,dcs,recommendation,recommend,fault,tolerance,toler,performance,perform,zone,types,type,standard,stored,store,text,file,primary,primari,accept,writes,write,ad-integrated,ad-integr,objects,object,replicated,replic,namespace,namespac,design,external,extern,resolvable,resolv,internet,internal,intern,internally,domains,tlds,tld,reserved,reserv,private,privat,name,addressing,externally,secur,risk,recommended,different,differ,company,compani,com,local,ds,kerberos,kerbero,secure,authentication,authent,passwords,never,sent,work,client,pc,desktop,computer,workstation,join,sends,send,encrypted,encrypt,ticket,request,kdc,issues,issu,issue,solving,solv,puzzle,puzzl,party,parti,knows,know,ipsec,can accept,can be used,be used,can be,dns to,every dc,the dns,the dns server",0.5556
windows_ad_directory_services,RRAS — ROUTING AND REMOTE ACCESS,RRAS Overview,prose,"RRAS (Routing and Remote Access Service) provides:
  - Static routing or RIP (dynamic routing)
  - DHCP Relay Agent (equivalent to Cisco 'ip helper-address')
  - NAT/PAT (Network Address Translation)
  - VPN server functionality

DHCP Relay Agent:
  Forwards DHCP broadcasts from clients to a DHCP server on another subnet.
  Configure under: Routing and Remote Access -> IPv4 -> DHCP Relay Agent
  Add the IP of the DHCP server in Relay Agent Properties.

NAT:
  Translates private internal IPs to a public IP for internet access.
  Configured under IPv4 -> NAT.","windows,server,win,microsoft,ad,domain,active directory,active,directory,adds,dc,domain controller,promote,forest,install,create,add,new,make,useradd,adduser,setup,configure,build,aduc,adac,ou,user,management,organizational,organisational,unit,container,group,groups,groupadd,groupmod,groupdel,member,membership,security group,password,passwd,chage,secret,credentials,pass,pwd,policy,gpo,group policy,baseline,security,dhcp,ip,address,lease,pool,network,dns,router,failover,scope,rras,routing,remote access,vpn,nat,school.test,cisco,switch,networking,commands,ios,route,ospf,dynamic,area 0,passive,redistribute,link state,rip,distance vector,update,version 2,static,default,gateway,table,rra,rout,remote,remot,access,overview,service,servic,provides,provid,dynam,relay,agent,equivalent,equival,helper-address,pat,work,translation,translat,functionality,function,forwards,forward,broadcasts,broadcast,clients,client,pc,desktop,computer,workstation,join,another,anoth,subnet,subnetting,cidr,mask,vlsm,prefix,configur,ipv4,properties,properti,property,translates,private,privat,internal,intern,ips,public,internet,configured,ip dhcp,relay agent,dhcp relay agent,dhcp relay,routing and remote,and remote access,routing and,and remote",0.6147
windows_group_policies,OVERVIEW,,prose,"This assignment configures Group Policy Objects (GPOs) in a Windows domain (school.test). Required VMs:
  - DC1 (domain controller): 172.16.1.1/24
  - PC1 (Windows client): 172.16.1.10/24
  - PC2 (Windows client): 172.16.1.11/24

RRAS1 and SRV1 are not needed but should be started for ~30 minutes weekly to keep AD replication active.","windows,server,win,microsoft,ad,domain,active directory,group,groups,groupadd,groupmod,groupdel,member,membership,security group,policy,gpo,group policy,aduc,ou,baseline,security,adac,user,management,kiosk,folder,redirection,software,deploy,admx,template,office,loopback,inheritance,enforce,school.test,dc1,pc1,pc2,overview,assignment,assign,configures,configur,polici,objects,object,gpos,window,school,test,required,requir,vms,vm,controller,control,client,pc,desktop,computer,workstation,join,rras1,srv1,needed,need,started,start,minutes,minut,minute,weekly,weekli,keep,replication,replic,active,activ,domain controller,windows client,assignment configures,in windows,required vms,required vms dc1,this assignment configures,vms dc1,and srv1",0.5476
windows_group_policies,GPO CREATION,GPOs to Create,prose,"Create the following GPOs in GPMC on the domain controller:
  1. Baseline Security
  2. Kiosk Computer Security
  3. Restrict Control Panel
  4. Restrict Desktop Display
  5. Restrict Run Command","windows,server,win,microsoft,ad,domain,active directory,group,groups,groupadd,groupmod,groupdel,member,membership,security group,policy,gpo,group policy,aduc,ou,baseline,security,adac,user,management,kiosk,folder,redirection,software,deploy,admx,template,office,loopback,inheritance,enforce,school.test,dc1,pc1,pc2,creation,gpos,create,add,new,make,useradd,adduser,setup,configure,install,build,creat,following,follow,gpmc,controller,control,baselin,secur,computer,pc,desktop,client,workstation,machine,join,comput,restrict,panel,display,command,domain controller,create the following,computer security,gpos to,kiosk computer,kiosk computer security,restrict run,restrict run command,to create",0.6395
windows_group_policies,GPO CREATION,1. Baseline Security,prose,"Goal: Do not display the last logged-in username on the login screen (security).
Path: Computer Configuration > Policies > Windows Settings > Security Settings > Local Policies > Security Options","windows,server,win,microsoft,ad,domain,active directory,group,groups,groupadd,groupmod,groupdel,member,membership,security group,policy,gpo,group policy,aduc,ou,baseline,security,adac,user,management,kiosk,folder,redirection,software,deploy,admx,template,office,loopback,inheritance,enforce,school.test,dc1,pc1,pc2,creation,baselin,secur,goal,display,logged-in,username,usernam,name,login,screen,path,computer,pc,desktop,client,workstation,machine,join,comput,configuration,configur,policies,polici,window,settings,set,setting,local,options,option,security settings,settings security,settings security settings,the login,windows settings security,configuration policies windows,policies windows,policies windows settings",0.6342
windows_group_policies,GPO CREATION,2. Kiosk Computer Security,prose,"Goal: Prevent guests/staff from leaving confidential information on kiosk computers.
Settings:
  - Enable User Group Policy loopback processing (mode: Replace)
    Path: Computer Configuration > Policies > Administrative Templates > System > Group Policy
  - Hide all desktop icons
    Path: User Configuration > Policies > Administrative Templates > Desktop","windows,server,win,microsoft,ad,domain,active directory,group,groups,groupadd,groupmod,groupdel,member,membership,security group,policy,gpo,group policy,aduc,ou,baseline,security,adac,user,management,kiosk,folder,redirection,software,deploy,admx,template,office,loopback,inheritance,enforce,school.test,dc1,pc1,pc2,creation,computer,pc,desktop,client,workstation,machine,join,comput,secur,goal,prevent,guests,guest,staff,leaving,leav,confidential,confidenti,information,inform,computers,settings,set,setting,enable,activate,allow,permit,start,enabl,polici,processing,process,replace,replac,path,configuration,configur,policies,administrative,administr,templates,templat,system,hide,icons,icon,configuration policies administrative,policies administrative,policies administrative templates,administrative templates,configuration policies,computer security,kiosk computer",0.6404
